delay,method,level,execute_horizon,mean_inference_s,mean_task_completion_time_s,returned_episode_lengths,returned_episode_returns,returned_episode_solved,worker_id
1,discrete_rtc,worlds/l/grasp_easy.json,2,0.6611243912979262,0.96717125,29.015137,0.96972656,0.9423828,0
1,discrete_rtc,worlds/l/catapult.json,2,0.6611243912979262,4.1632814,124.89844,0.63720703,0.6245117,0
1,bid,worlds/l/grasp_easy.json,2,1.1875674284994602,0.9665365,28.996094,0.96875,0.9458008,0
1,bid,worlds/l/catapult.json,2,1.1875674284994602,5.5642905,166.92871,0.4345703,0.41601562,0
1,naive,worlds/l/grasp_easy.json,3,0.6668474236008478,0.9720378,29.161133,0.9448242,0.92089844,0
1,naive,worlds/l/catapult.json,3,0.6668474236008478,5.7545414,172.63623,0.40771484,0.3959961,0
1,discrete_rtc,worlds/l/grasp_easy.json,3,0.6360830779012758,0.9772787,29.31836,0.9584961,0.94189453,0
1,discrete_rtc,worlds/l/catapult.json,3,0.6360830779012758,4.539388,136.18164,0.58203125,0.5620117,0
1,bid,worlds/l/grasp_easy.json,3,1.2315232259483309,0.961556,28.84668,0.95410156,0.9321289,0
1,bid,worlds/l/catapult.json,3,1.2315232259483309,5.316293,159.48877,0.4716797,0.4560547,0
1,naive,worlds/l/grasp_easy.json,4,0.6633769590000156,0.96508795,28.952637,0.93603516,0.91552734,0
1,naive,worlds/l/catapult.json,4,0.6633769590000156,5.8816085,176.44824,0.38964844,0.36816406,0
1,discrete_rtc,worlds/l/grasp_easy.json,4,0.6555464334000135,1.0066732,30.200195,0.9277344,0.9121094,0
1,discrete_rtc,worlds/l/catapult.json,4,0.6555464334000135,4.889291,146.67871,0.53271484,0.51708984,0
1,bid,worlds/l/grasp_easy.json,4,1.2072106548497683,0.9620606,28.861816,0.9399414,0.92578125,0
1,bid,worlds/l/catapult.json,4,1.2072106548497683,5.510059,165.30176,0.44433594,0.42578125,0
1,naive,worlds/l/grasp_easy.json,5,0.6604431012994609,0.9604818,28.814453,0.92285156,0.9121094,0
1,naive,worlds/l/catapult.json,5,0.6604431012994609,6.0160975,180.48291,0.37158203,0.35107422,0
1,discrete_rtc,worlds/l/grasp_easy.json,5,0.6573369674995775,0.9607585,28.822754,0.9428711,0.9291992,0
1,discrete_rtc,worlds/l/catapult.json,5,0.6573369674995775,4.962175,148.86523,0.5229492,0.50878906,0
1,bid,worlds/l/grasp_easy.json,5,1.2102356791001512,0.9592611,28.777832,0.93359375,0.9243164,0
1,bid,worlds/l/catapult.json,5,1.2102356791001512,5.5903487,167.71045,0.43310547,0.41845703,0
1,naive,worlds/l/grasp_easy.json,6,0.6657106496975758,0.9717774,29.15332,0.9238281,0.91015625,0
1,naive,worlds/l/catapult.json,6,0.6657106496975758,5.634733,169.04199,0.42626953,0.40966797,0
1,discrete_rtc,worlds/l/grasp_easy.json,6,0.6597186969476752,1.0398601,31.1958,0.9091797,0.8989258,0
1,discrete_rtc,worlds/l/catapult.json,6,0.6597186969476752,4.906478,147.19434,0.53125,0.5097656,0
1,bid,worlds/l/grasp_easy.json,6,1.2300845951016526,0.9653809,28.961426,0.9277344,0.9135742,0
1,bid,worlds/l/catapult.json,6,1.2300845951016526,5.6094403,168.2832,0.4296875,0.41357422,0
1,naive,worlds/l/grasp_easy.json,7,0.6547067881008843,0.9699057,29.097168,0.88916016,0.88964844,0
1,naive,worlds/l/catapult.json,7,0.6547067881008843,5.928044,177.84131,0.38476562,0.36572266,0
1,discrete_rtc,worlds/l/grasp_easy.json,7,0.6619157474517123,1.0784506,32.353516,0.87841797,0.88134766,0
1,discrete_rtc,worlds/l/catapult.json,7,0.6619157474517123,4.782943,143.48828,0.54785156,0.53271484,0
1,bid,worlds/l/grasp_easy.json,7,1.226203567450284,0.95870775,28.76123,0.9013672,0.890625,0
1,bid,worlds/l/catapult.json,7,1.226203567450284,5.616797,168.5039,0.42919922,0.40771484,0
2,naive,worlds/l/grasp_easy.json,2,0.6640472187515115,0.95891935,28.767578,0.75878906,0.8105469,0
2,naive,worlds/l/catapult.json,2,0.6640472187515115,6.4931154,194.79346,0.30371094,0.28857422,0
2,discrete_rtc,worlds/l/grasp_easy.json,2,0.6606927811022615,0.9687175,29.061523,0.96728516,0.9423828,0
2,discrete_rtc,worlds/l/catapult.json,2,0.6606927811022615,4.5046062,135.13818,0.5883789,0.5683594,0
2,bid,worlds/l/grasp_easy.json,2,1.2156904948496958,0.9661296,28.983887,0.9291992,0.9165039,0
2,bid,worlds/l/catapult.json,2,1.2156904948496958,5.734961,172.04883,0.4116211,0.39404297,0
2,naive,worlds/l/grasp_easy.json,3,0.649808780249441,0.96806645,29.041992,0.7836914,0.80322266,0
2,naive,worlds/l/catapult.json,3,0.649808780249441,5.98724,179.61719,0.375,0.35839844,0
2,discrete_rtc,worlds/l/grasp_easy.json,3,0.6544737152493326,0.9894043,29.682129,0.9526367,0.9301758,0
2,discrete_rtc,worlds/l/catapult.json,3,0.6544737152493326,4.857178,145.71533,0.5371094,0.5209961,0
2,bid,worlds/l/grasp_easy.json,3,1.1857786543492694,0.9773275,29.319824,0.92333984,0.9189453,0
2,bid,worlds/l/catapult.json,3,1.1857786543492694,5.6853843,170.56152,0.41796875,0.39990234,0
2,naive,worlds/l/grasp_easy.json,4,0.6541485852998449,0.93974614,28.192383,0.7944336,0.8330078,0
2,naive,worlds/l/catapult.json,4,0.6541485852998449,6.042725,181.28174,0.36669922,0.3486328,0
2,discrete_rtc,worlds/l/grasp_easy.json,4,0.6658473240997409,0.99267584,29.780273,0.93115234,0.90966797,0
2,discrete_rtc,worlds/l/catapult.json,4,0.6658473240997409,5.177702,155.33105,0.49072266,0.4741211,0
