delay,method,level,execute_horizon,mean_task_completion_time_s,returned_episode_lengths,returned_episode_returns,returned_episode_solved
4,bid,worlds/l/cartpole_thrust.json,4,1.6245118,48.73535,-0.2319336,0.18066406
4,bid,worlds/l/hard_lunar_lander.json,4,1.6733725,50.20117,0.15283203,0.41845703
0,naive,worlds/l/mjc_half_cheetah.json,1,1.8570313,55.710938,0.99121094,0.94140625
0,naive,worlds/l/mjc_swimmer.json,1,4.180013,125.40039,1.0,0.90527344
0,discrete_rtc,worlds/l/mjc_half_cheetah.json,1,1.8568686,55.706055,0.99121094,0.94140625
0,discrete_rtc,worlds/l/mjc_swimmer.json,1,4.180013,125.40039,1.0,0.90527344
0,bid,worlds/l/mjc_half_cheetah.json,1,1.8723146,56.169434,0.98876953,0.9379883
0,bid,worlds/l/mjc_swimmer.json,1,4.176937,125.308105,1.0,0.92578125
1,naive,worlds/l/mjc_half_cheetah.json,1,1.9324219,57.972656,0.9868164,0.92578125
1,naive,worlds/l/mjc_swimmer.json,1,5.583887,167.5166,0.9926758,0.9003906
1,discrete_rtc,worlds/l/mjc_half_cheetah.json,1,2.060791,61.82373,0.9770508,0.9140625
1,discrete_rtc,worlds/l/mjc_swimmer.json,1,4.4065595,132.19678,0.99902344,0.91503906
1,bid,worlds/l/mjc_half_cheetah.json,1,1.9566407,58.69922,0.9790039,0.9272461
1,bid,worlds/l/mjc_swimmer.json,1,4.8514,145.54199,0.99902344,0.9199219
2,naive,worlds/l/mjc_half_cheetah.json,2,2.070573,62.117188,0.9741211,0.9194336
2,naive,worlds/l/mjc_swimmer.json,2,6.8935223,206.80566,0.8334961,0.7368164
2,discrete_rtc,worlds/l/mjc_half_cheetah.json,2,2.126709,63.80127,0.9506836,0.9013672
2,discrete_rtc,worlds/l/mjc_swimmer.json,2,5.341488,160.24463,0.9873047,0.9057617
2,bid,worlds/l/mjc_half_cheetah.json,2,2.0193524,60.580566,0.9736328,0.9189453
2,bid,worlds/l/mjc_swimmer.json,2,6.1492677,184.47803,0.94921875,0.85595703
3,naive,worlds/l/mjc_half_cheetah.json,3,2.388314,71.649414,0.91308594,0.8691406
3,naive,worlds/l/mjc_swimmer.json,3,7.707715,231.23145,0.53759766,0.47607422
3,discrete_rtc,worlds/l/mjc_half_cheetah.json,3,2.465625,73.96875,0.8701172,0.84375
3,discrete_rtc,worlds/l/mjc_swimmer.json,3,6.510987,195.32959,0.8847656,0.7949219
3,bid,worlds/l/mjc_half_cheetah.json,3,2.287142,68.61426,0.9111328,0.8720703
3,bid,worlds/l/mjc_swimmer.json,3,7.3250494,219.75146,0.6772461,0.6088867
4,naive,worlds/l/mjc_half_cheetah.json,4,2.7848635,83.5459,0.86376953,0.81689453
4,naive,worlds/l/mjc_swimmer.json,4,8.104183,243.12549,0.3095703,0.27685547
4,discrete_rtc,worlds/l/mjc_half_cheetah.json,4,2.6014323,78.04297,0.8198242,0.80810547
4,discrete_rtc,worlds/l/mjc_swimmer.json,4,7.718213,231.54639,0.51464844,0.45751953
4,bid,worlds/l/mjc_half_cheetah.json,4,2.5439618,76.31885,0.9033203,0.8666992
4,bid,worlds/l/mjc_swimmer.json,4,7.9499354,238.49805,0.3930664,0.35302734
0,naive,worlds/l/mjc_walker.json,1,5.207406,156.22217,0.98046875,0.87158203
0,naive,worlds/l/h17_unicycle.json,1,2.6763022,80.28906,1.0,0.9980469
0,discrete_rtc,worlds/l/mjc_walker.json,1,5.208399,156.25195,0.97998047,0.8618164
0,discrete_rtc,worlds/l/h17_unicycle.json,1,2.6763022,80.28906,1.0,0.9980469
0,bid,worlds/l/mjc_walker.json,1,5.298503,158.95508,0.9536133,0.8256836
0,bid,worlds/l/h17_unicycle.json,1,2.8157227,84.47168,1.0,1.0
1,naive,worlds/l/mjc_walker.json,1,5.4834476,164.50342,0.9003906,0.7944336
1,naive,worlds/l/h17_unicycle.json,1,2.858187,85.745605,0.45410156,0.6147461
1,discrete_rtc,worlds/l/mjc_walker.json,1,5.4844403,164.5332,0.9433594,0.84716797
1,discrete_rtc,worlds/l/h17_unicycle.json,1,2.4278972,72.836914,0.9975586,0.9941406
1,bid,worlds/l/mjc_walker.json,1,5.443799,163.31396,0.875,0.79589844
1,bid,worlds/l/h17_unicycle.json,1,2.9227867,87.68359,0.7558594,0.8305664
2,naive,worlds/l/mjc_walker.json,2,5.7192874,171.57861,0.73339844,0.69189453
2,naive,worlds/l/h17_unicycle.json,2,2.9546714,88.64014,0.66503906,0.75878906
2,discrete_rtc,worlds/l/mjc_walker.json,2,5.8199873,174.59961,0.8066406,0.7675781
2,discrete_rtc,worlds/l/h17_unicycle.json,2,2.4906414,74.71924,0.9638672,0.9614258
2,bid,worlds/l/mjc_walker.json,2,5.7289715,171.86914,0.7348633,0.7026367
2,bid,worlds/l/h17_unicycle.json,2,2.963021,88.890625,0.86572266,0.8984375
3,naive,worlds/l/mjc_walker.json,3,6.1202803,183.6084,0.44873047,0.47851562
