delay,method,level,execute_horizon,mean_inference_s,mean_task_completion_time_s,returned_episode_lengths,returned_episode_returns,returned_episode_solved
2,vlash,worlds/l/grasp_easy.json,6,0.6667339362495113,0.9620606,28.861816,0.9770508,0.9477539
2,vlash,worlds/l/catapult.json,6,0.6667339362495113,5.300765,159.02295,0.47460938,0.4584961
2,vlash,worlds/l/cartpole_thrust.json,6,0.6667339362495113,1.5629395,46.888184,0.8330078,0.8876953
3,vlash,worlds/l/grasp_easy.json,3,0.6616256659501232,0.94632167,28.389648,0.9819336,0.95654297
3,vlash,worlds/l/catapult.json,3,0.6616256659501232,4.450505,133.51514,0.5961914,0.578125
3,vlash,worlds/l/cartpole_thrust.json,3,0.6616256659501232,1.4835938,44.507812,0.8598633,0.9008789
3,vlash,worlds/l/grasp_easy.json,4,0.6700532371527516,0.94755864,28.426758,0.9785156,0.9482422
3,vlash,worlds/l/catapult.json,4,0.6700532371527516,4.670752,140.12256,0.5644531,0.54833984
3,vlash,worlds/l/cartpole_thrust.json,4,0.6700532371527516,1.5057455,45.172363,0.8276367,0.88671875
3,vlash,worlds/l/grasp_easy.json,5,0.6588088830001653,0.96057945,28.817383,0.97021484,0.9404297
3,vlash,worlds/l/catapult.json,5,0.6588088830001653,4.868148,146.04443,0.5366211,0.52197266
3,vlash,worlds/l/cartpole_thrust.json,5,0.6588088830001653,1.5263184,45.78955,0.79296875,0.8647461
4,vlash,worlds/l/grasp_easy.json,4,0.6674200089473743,0.9471192,28.413574,0.9433594,0.9301758
4,vlash,worlds/l/catapult.json,4,0.6674200089473743,4.786654,143.59961,0.5473633,0.53027344
4,vlash,worlds/l/cartpole_thrust.json,4,0.6674200089473743,1.4701661,44.10498,0.7861328,0.8540039
0,vlash,worlds/l/hard_lunar_lander.json,1,0.6769055272510741,1.7223797,51.671387,0.9926758,0.9140625
0,vlash,worlds/l/mjc_half_cheetah.json,1,0.6769055272510741,1.8401042,55.203125,0.9951172,0.9448242
0,vlash,worlds/l/mjc_swimmer.json,1,0.6769055272510741,4.5049157,135.14746,1.0,0.9116211
0,vlash,worlds/l/hard_lunar_lander.json,2,0.6791110309481155,1.7474773,52.424316,0.984375,0.9277344
0,vlash,worlds/l/mjc_half_cheetah.json,2,0.6791110309481155,1.857308,55.71924,0.99365234,0.9404297
0,vlash,worlds/l/mjc_swimmer.json,2,0.6791110309481155,4.784131,143.52393,1.0,0.90185547
0,vlash,worlds/l/hard_lunar_lander.json,3,0.69850334720104,1.7417806,52.253418,0.98291016,0.9038086
0,vlash,worlds/l/mjc_half_cheetah.json,3,0.69850334720104,1.9001466,57.004395,0.9897461,0.9321289
0,vlash,worlds/l/mjc_swimmer.json,3,0.69850334720104,5.178516,155.35547,0.99902344,0.9086914
0,vlash,worlds/l/hard_lunar_lander.json,4,0.6828084142995067,1.7451661,52.35498,0.9580078,0.8989258
0,vlash,worlds/l/mjc_half_cheetah.json,4,0.6828084142995067,1.8620443,55.86133,0.99121094,0.94140625
0,vlash,worlds/l/mjc_swimmer.json,4,0.6828084142995067,5.428744,162.8623,0.99609375,0.89501953
0,vlash,worlds/l/hard_lunar_lander.json,5,0.6784248593496158,1.7566245,52.69873,0.9482422,0.8901367
0,vlash,worlds/l/mjc_half_cheetah.json,5,0.6784248593496158,1.9001954,57.00586,0.9863281,0.9379883
0,vlash,worlds/l/mjc_swimmer.json,5,0.6784248593496158,5.717074,171.5122,0.98583984,0.8779297
0,vlash,worlds/l/hard_lunar_lander.json,6,0.6891091144469101,1.7621257,52.86377,0.9433594,0.87841797
0,vlash,worlds/l/mjc_half_cheetah.json,6,0.6891091144469101,1.9532716,58.598145,0.97998047,0.93310547
0,vlash,worlds/l/mjc_swimmer.json,6,0.6891091144469101,6.036898,181.10693,0.97265625,0.8691406
0,vlash,worlds/l/hard_lunar_lander.json,7,0.6877680273493751,1.7746258,53.23877,0.9160156,0.85009766
0,vlash,worlds/l/mjc_half_cheetah.json,7,0.6877680273493751,2.000879,60.026367,0.97802734,0.9267578
0,vlash,worlds/l/mjc_swimmer.json,7,0.6877680273493751,6.293978,188.81934,0.9379883,0.84375
0,vlash,worlds/l/hard_lunar_lander.json,8,0.6853829904983286,1.7698895,53.09668,0.9140625,0.8510742
0,vlash,worlds/l/mjc_half_cheetah.json,8,0.6853829904983286,2.0056152,60.168457,0.9746094,0.9277344
0,vlash,worlds/l/mjc_swimmer.json,8,0.6853829904983286,6.4542646,193.62793,0.9248047,0.8339844
1,vlash,worlds/l/hard_lunar_lander.json,1,0.6769507258490194,1.7164714,51.49414,0.98046875,0.9082031
1,vlash,worlds/l/mjc_half_cheetah.json,1,0.6769507258490194,1.8268555,54.805664,0.9926758,0.9482422
1,vlash,worlds/l/mjc_swimmer.json,1,0.6769507258490194,4.4604006,133.81201,1.0,0.9145508
1,vlash,worlds/l/hard_lunar_lander.json,2,0.6816619228513445,1.7173991,51.521973,0.9790039,0.90625
1,vlash,worlds/l/mjc_half_cheetah.json,2,0.6816619228513445,1.8763021,56.289062,0.9902344,0.9355469
1,vlash,worlds/l/mjc_swimmer.json,2,0.6816619228513445,4.7203617,141.61084,1.0,0.9116211
1,vlash,worlds/l/hard_lunar_lander.json,3,0.6753307397011667,1.7224773,51.674316,0.97021484,0.8911133
1,vlash,worlds/l/mjc_half_cheetah.json,3,0.6753307397011667,1.9014324,57.04297,0.98339844,0.9350586
1,vlash,worlds/l/mjc_swimmer.json,3,0.6753307397011667,5.080811,152.42432,0.99902344,0.89746094
1,vlash,worlds/l/hard_lunar_lander.json,4,0.6903598362521735,1.7205893,51.617676,0.9433594,0.87939453
1,vlash,worlds/l/mjc_half_cheetah.json,4,0.6903598362521735,1.9316407,57.94922,0.9916992,0.93066406
1,vlash,worlds/l/mjc_swimmer.json,4,0.6903598362521735,5.4008956,162.02686,0.99658203,0.90527344
1,vlash,worlds/l/hard_lunar_lander.json,5,0.6859197743993718,1.7261394,51.78418,0.93310547,0.859375
1,vlash,worlds/l/mjc_half_cheetah.json,5,0.6859197743993718,1.9540203,58.620605,0.98339844,0.93408203
1,vlash,worlds/l/mjc_swimmer.json,5,0.6859197743993718,5.652165,169.56494,0.99072266,0.88134766
1,vlash,worlds/l/hard_lunar_lander.json,6,0.6793724333459977,1.7222494,51.66748,0.9213867,0.8647461
1,vlash,worlds/l/mjc_half_cheetah.json,6,0.6793724333459977,1.9892741,59.678223,0.984375,0.93115234
1,vlash,worlds/l/mjc_swimmer.json,6,0.6793724333459977,5.9583664,178.75098,0.97802734,0.8779297
1,vlash,worlds/l/hard_lunar_lander.json,7,0.6898314356512856,1.7321128,51.96338,0.8925781,0.83447266
1,vlash,worlds/l/mjc_half_cheetah.json,7,0.6898314356512856,2.099642,62.989258,0.9707031,0.90283203
1,vlash,worlds/l/mjc_swimmer.json,7,0.6898314356512856,6.2067876,186.20361,0.94970703,0.8520508
2,vlash,worlds/l/hard_lunar_lander.json,2,0.6804563324025367,1.7375652,52.126953,0.9741211,0.91015625
2,vlash,worlds/l/mjc_half_cheetah.json,2,0.6804563324025367,1.8736166,56.208496,0.9902344,0.9345703
2,vlash,worlds/l/mjc_swimmer.json,2,0.6804563324025367,4.869922,146.09766,1.0,0.9038086
2,vlash,worlds/l/hard_lunar_lander.json,3,0.6804992976482026,1.7384441,52.15332,0.9633789,0.890625
2,vlash,worlds/l/mjc_half_cheetah.json,3,0.6804992976482026,1.9119304,57.35791,0.9921875,0.9394531
2,vlash,worlds/l/mjc_swimmer.json,3,0.6804992976482026,5.270101,158.10303,0.9980469,0.90185547
2,vlash,worlds/l/hard_lunar_lander.json,4,0.6841267535462976,1.7467774,52.40332,0.9555664,0.8779297
2,vlash,worlds/l/mjc_half_cheetah.json,4,0.6841267535462976,1.9317547,57.952637,0.98779297,0.92578125
2,vlash,worlds/l/mjc_swimmer.json,4,0.6841267535462976,5.516781,165.50342,0.99560547,0.88964844
2,vlash,worlds/l/hard_lunar_lander.json,5,0.6844835025491193,1.7496746,52.490234,0.93359375,0.87158203
2,vlash,worlds/l/mjc_half_cheetah.json,5,0.6844835025491193,1.9807944,59.42383,0.9873047,0.9277344
2,vlash,worlds/l/mjc_swimmer.json,5,0.6844835025491193,5.7216473,171.64941,0.98583984,0.8833008
2,vlash,worlds/l/hard_lunar_lander.json,6,0.6754757180460729,1.7473146,52.419434,0.8847656,0.82910156
2,vlash,worlds/l/mjc_half_cheetah.json,6,0.6754757180460729,1.9997885,59.993652,0.9838867,0.9321289
2,vlash,worlds/l/mjc_swimmer.json,6,0.6754757180460729,6.0519047,181.55713,0.96777344,0.8618164
3,vlash,worlds/l/hard_lunar_lander.json,3,0.6775096022000071,1.7352866,52.058594,0.95654297,0.8745117
3,vlash,worlds/l/mjc_half_cheetah.json,3,0.6775096022000071,1.8855795,56.567383,0.9951172,0.9477539
3,vlash,worlds/l/mjc_swimmer.json,3,0.6775096022000071,5.4947104,164.84131,0.9951172,0.89404297
3,vlash,worlds/l/hard_lunar_lander.json,4,0.6889654615020845,1.7364095,52.092285,0.9394531,0.8598633
3,vlash,worlds/l/mjc_half_cheetah.json,4,0.6889654615020845,1.9401693,58.20508,0.98779297,0.9355469
3,vlash,worlds/l/mjc_swimmer.json,4,0.6889654615020845,5.810368,174.31104,0.98095703,0.88916016
3,vlash,worlds/l/hard_lunar_lander.json,5,0.683210295799654,1.7446778,52.340332,0.9165039,0.85839844
3,vlash,worlds/l/mjc_half_cheetah.json,5,0.683210295799654,1.9309245,57.927734,0.9863281,0.9326172
3,vlash,worlds/l/mjc_swimmer.json,5,0.683210295799654,6.0787277,182.36182,0.96435547,0.8569336
4,vlash,worlds/l/hard_lunar_lander.json,4,0.6888622761005536,1.7424643,52.273926,0.9291992,0.8598633
4,vlash,worlds/l/mjc_half_cheetah.json,4,0.6888622761005536,1.9134116,57.402344,0.9848633,0.93603516
4,vlash,worlds/l/mjc_swimmer.json,4,0.6888622761005536,6.0849614,182.54883,0.96191406,0.8574219
0,vlash,worlds/l/mjc_walker.json,1,0.7139844955469016,5.58418,167.52539,0.88183594,0.8203125
0,vlash,worlds/l/h17_unicycle.json,1,0.7139844955469016,2.744987,82.34961,1.0,0.9975586
0,vlash,worlds/l/chain_lander.json,1,0.7139844955469016,1.6020997,48.06299,0.99853516,0.9501953
0,vlash,worlds/l/mjc_walker.json,2,0.7039402001013514,5.646273,169.38818,0.8613281,0.7993164
0,vlash,worlds/l/h17_unicycle.json,2,0.7039402001013514,2.8226237,84.67871,0.99365234,0.9902344
0,vlash,worlds/l/chain_lander.json,2,0.7039402001013514,1.5959961,47.879883,0.9975586,0.953125
0,vlash,worlds/l/mjc_walker.json,3,0.6989587043004576,5.589242,167.67725,0.81396484,0.77490234
0,vlash,worlds/l/h17_unicycle.json,3,0.6989587043004576,2.8686361,86.05908,0.9926758,0.9921875
0,vlash,worlds/l/chain_lander.json,3,0.6989587043004576,1.5990723,47.972168,0.99609375,0.94140625
0,vlash,worlds/l/mjc_walker.json,4,0.6951870390970726,5.6619306,169.85791,0.7788086,0.7470703
0,vlash,worlds/l/h17_unicycle.json,4,0.6951870390970726,2.8424318,85.27295,0.8491211,0.89404297
0,vlash,worlds/l/chain_lander.json,4,0.6951870390970726,1.604362,48.13086,0.9980469,0.94873047
0,vlash,worlds/l/mjc_walker.json,5,0.7025077702011913,5.732048,171.96143,0.71533203,0.6972656
