returned_episode_lengths,returned_episode_returns,returned_episode_solved,delay,method,level,execute_horizon
68.37891,0.98583984,0.9716797,0,realtime,worlds/l/catcher_v3.json,2
174.53271,0.7553711,0.7998047,0,realtime,worlds/l/trampoline.json,2
49.686523,0.98339844,0.9614258,0,realtime,worlds/l/car_launch.json,2
35.561035,0.9921875,0.97021484,0,bid,worlds/l/grasp_easy.json,2
108.75879,0.7133789,0.69433594,0,bid,worlds/l/catapult.json,2
49.521484,0.9995117,0.9995117,0,bid,worlds/l/cartpole_thrust.json,2
46.223633,0.97802734,0.9448242,0,bid,worlds/l/hard_lunar_lander.json,2
75.26465,0.99072266,0.86621094,0,bid,worlds/l/mjc_half_cheetah.json,2
151.0664,0.9995117,0.89941406,0,bid,worlds/l/mjc_swimmer.json,2
183.76855,0.86328125,0.7988281,0,bid,worlds/l/mjc_walker.json,2
83.07031,0.9995117,0.99853516,0,bid,worlds/l/h17_unicycle.json,2
48.81299,0.99609375,0.9482422,0,bid,worlds/l/chain_lander.json,2
67.69629,0.9868164,0.9716797,0,bid,worlds/l/catcher_v3.json,2
173.8833,0.7753906,0.8125,0,bid,worlds/l/trampoline.json,2
47.612305,0.9921875,0.96972656,0,bid,worlds/l/car_launch.json,2
35.59131,0.99365234,0.96728516,0,hard_masking,worlds/l/grasp_easy.json,2
117.06299,0.6743164,0.65625,0,hard_masking,worlds/l/catapult.json,2
50.166016,0.9995117,0.99902344,0,hard_masking,worlds/l/cartpole_thrust.json,2
46.45996,0.9819336,0.9433594,0,hard_masking,worlds/l/hard_lunar_lander.json,2
71.609375,0.99609375,0.8833008,0,hard_masking,worlds/l/mjc_half_cheetah.json,2
150.2793,1.0,0.90234375,0,hard_masking,worlds/l/mjc_swimmer.json,2
193.75977,0.7480469,0.6582031,0,hard_masking,worlds/l/mjc_walker.json,2
81.09033,1.0,1.0,0,hard_masking,worlds/l/h17_unicycle.json,2
48.705566,0.99658203,0.94873047,0,hard_masking,worlds/l/chain_lander.json,2
68.45703,0.98583984,0.9736328,0,hard_masking,worlds/l/catcher_v3.json,2
174.53613,0.7553711,0.7998047,0,hard_masking,worlds/l/trampoline.json,2
49.706543,0.98339844,0.95996094,0,hard_masking,worlds/l/car_launch.json,2
